lemma	domains	subdomains	definitions
αμαρτια	'[''Moral and Ethical Qualities and Related Behavior'', ''Moral and Ethical Qualities and Related Behavior'', ''Moral and Ethical Qualities and Related Behavior'']'	'[''Sin, Wrongdoing, Guilt'', ''Bad, Evil, Harmful, Damaging'', ''Sin, Wrongdoing, Guilt'']'	'[''to act contrary to the will and law of God'', ''a state of sinfulness as an integral element of someone’s nature'', ''the moral consequence of having sinned'']'
αμαρτωλος	'[''Moral and Ethical Qualities and Related Behavior'', ''Moral and Ethical Qualities and Related Behavior'']'	'[''Sin, Wrongdoing, Guilt'', ''Sin, Wrongdoing, Guilt'']'	'[''(derivative of {L:ἁμαρτάνω<SDBG:ἁμαρτάνω:000000>} ‘to sin,’ {D:88.289}) pertaining to sinful behavior'', ''(derivative of {L:ἁμαρτάνω<SDBG:ἁμαρτάνω:000000>} ‘to sin,’ {D:88.289}) a person who customarily sins'']'
αμμος	'[''Natural Substances'', ''Geographical Objects and Features'']'	'[''Earth, Mud, Sand, Rock'', ''Land in Contrast With the Sea'']'	'[''None'', ''a sandy beach or shore'']'
αμμων	'[''Names of Persons and Places'']'	'[''Persons'']'	'People descended from Lot''s son, enemies of Israel'
Ἀμορραῖος	'[''Names of Persons and Places'']'	'[''Ethnic-Cultural'']'	a person from the ancient Amorite people
αμπελος	'[''Plants'']'	'[''Plants That Are Not Trees'']'	'[''creeping plant that develops a woody stem when it matures; Vitis vinifera; grows along the ground until it finds a tree or other object to climb, using tendrils; bears bunches of small round fruit that are sweet and juicy; symbol of blessing, prosperity, and happiness'']'
αμπελων	'[''Plants'']'	'[''Plants That Are Not Trees'']'	'[''(derivative of ἄμπελος ‘grapevine’) a field or garden of grapevines--creeping plants that develop a woody stem when they mature; Vitis vinifera; grow along the ground until they find a tree or other object to climb, using tendrils; bear bunches of small round fruit that are sweet and juicy; symbol of blessing, prosperity, and happiness'']'
ἀμύνω	'[''To Fight'', ''Strife, Struggle'']'	'[''Defend, Excuse'', ''Attack'']'	to protect or repel an attack
αμφιβληστρον	'[''Artifacts'']'	'[''Instruments Used in Fishing'']'	'[''a circular net with weights and a draw rope around its edge; used in fishing'']'
αμωμος	'[''Features of Objects'', ''Moral and Ethical Qualities and Related Behavior'']'	'[''Blemished, Unblemished'', ''Holy, Pure'']'	'[''pertaining to having no defect or blemish'', ''pertaining to being without fault and hence morally blameless'']'
αν	'[''Mode'', ''Mode'']'	'[''Certain, Uncertain'', ''Possible, Impossible'']'	'[''(in combination with a past tense, as part of the apodosis of a conditional sentence) pertaining to being certain, in view of particular circumstances of a condition contrary to fact{N:001}'', ''a marker of the possibility of any number of occurrences of some event'']'
ανα	'[''Relations'', ''Sequence'', ''Spacial Positions'', ''Spacial Positions'', ''Relations'']'	'[''Distribution'', ''Among, Between, In, Inside'', ''Among, Between, In, Inside'', ''Mediation'']'	'[''(in combination with numerable objects) a marker of distributive relations involving numerable objects'', ''(an idiom, literally: up to a part, or: according to a part) a series in which each element follows in strict succession'', ''a position within an area determined by other objects and distributed among such objects{N:001}'', ''a position in the middle of an area (either an object in the midst of other objects or an area in the middle of a larger area)'', ''a marker of mediation'']'
αναβαθμος	'[''Constructions'']'	'[''Parts and Areas of Buildings'']'	'[''in the singular, a step in a flight of steps, and in the plural, a series of steps'']'
αναβαινω	'[''Linear Movement'', ''Linear Movement'', ''Physiological Processes and States'', ''Physiological Processes and States'', ''Think'']'	'[''Come/Go Up, Ascend'', ''Come/Go Onto'', ''Grow, Growth'', ''Grow, Growth'', ''To Think, Thought'']'	'[''to move up'', ''to move up onto an object, with specialization of meaning in reference to boats'', ''to grow, as of plants, from the time of sprouting to mature size'', ''to grow taller (restricted in the NT to the growth of plants)'', ''(an idiom, literally: to arise in the heart) to begin to think about something'']'
αναβαλλω	'[''Courts and Legal Procedures'']'	'[''Judicial Hearing, Inquiry'']'	'[''to adjourn a court proceeding until a later time'']'
ἀνάβασις	'[''Linear Movement'', ''Linear Movement'']'	'[''Come/Go Up, Ascend'']'	an upward movement or journey
αναγγελλω	'[''Communication'']'	'[''Inform, Announce'']'	'[''to provide information, with the possible implication of considerable detail'']'
αναγκη	'[''Trouble, Hardship, Relief, Favorable Circumstances'', ''Mode'', ''Mode'']'	'[''Trouble, Hardship, Distress'', ''Should, Ought'', ''Necessary, Unnecessary'']'	'[''a general state of distress and trouble'', ''an obligation of a compelling nature'', ''necessity as a law of human experience'']'
αναγω	'[''Linear Movement'', ''Linear Movement'', ''Maritime Activities'']'	'[''Lead, Bring, Take'', ''Carry, Bear'']'	'[''to bring or lead up'', ''to bring an offering to{N:002}'', ''to begin to go by boat'']'
ἀναδένδρας	'[''Plants'']'	'[''Plants That Are Not Trees'']'	a plant that climbs or twines
αναθαλλω	'[''Be, Become, Exist, Happen'']'	'[''State'']'	'[''(a figurative extension of meaning of ἀναθάλλω ‘to bloom again,’ not occurring in the NT) to be in a state identical with a previous state'']'
ανακαινιζω	'[''Be, Become, Exist, Happen'']'	'[''Change of State'']'	'[''to cause a change to a previous, preferable state'']'
ανακαλυπτω	'[''Features of Objects'']'	'[''Covered Over'']'	'[''to cause something to be uncovered'']'
αναλαμβανω	'[''Linear Movement'', ''Linear Movement'', ''Linear Movement'']'	'[''Carry, Bear'', ''Lead, Bring, Take'', ''Come/Go Onto'']'	'[''to lift up and carry (away)'', ''to take or bring someone along with'', ''to cause or permit someone to move up onto an object, used especially in relation to boats, but with the possible associated meaning of welcoming or receiving'']'
αναμιμνησκω	'[''Memory and Recall'', ''Memory and Recall'']'	'[''Recalling from Memory'', ''Recalling from Memory'']'	'[''to cause to recall and to think about again{N:001}'', ''to cause oneself to remember or to be caused to remember'']'
αναμνησις	'[''Memory and Recall'']'	'[''Recalling from Memory'']'	'[''(derivative of {L:ἀναμιμνῄσκω<SDBG:ἀναμιμνῄσκω:000000>} ‘to cause to remember,’ {D:29.10}) the means for causing someone to remember'']'
ἀνάνευσις	'[''Communication'']'	'[''Obey, Disobey'', ''Admit, Confess, Deny'']'	denial or negation through a gesture
αναπαυσις	'[''Aspect'', ''Physiological Processes and States'', ''Physiological Processes and States'', ''Trouble, Hardship, Relief, Favorable Circumstances'']'	'[''Cease, Stop'', ''Tire, Rest'', ''Tire, Rest'', ''Relief from Trouble'']'	'[''to cease from an activity in which one is engaged'', ''to become physically refreshed after ceasing activity or work'', ''(derivative of {L:ἀναπαύομαι<SDBG:ἀναπαύω:000000>}[a] ‘to rest,’ {D:23.80}) a location for resting'', ''relief from trouble and related anxiety'']'
αναπτω	'[''Physical Events and States'']'	'[''Burning'']'	'[''to cause the process of burning to begin'']'
ἀνασκάπτω	'[''Physical Events and States'']'	'[''Dig'']'	to dig up or uncover by digging
αναστασις	'[''Physiological Processes and States'', ''Status'', ''Be, Become, Exist, Happen'']'	'[''Live, Die'', ''High Status or Rank [including persons of high status]'', ''Change of State'']'	'[''to come back to life after having once died'', ''a process of change from a lower to a higher status (note the contrast with {L:πτῶσις<SDBG:πτῶσις:000001>}[b] ‘a falling,’ {D:87.75})'', ''a change for the better'']'
ανατελλω	'[''Linear Movement'', ''Physical Events and States'', ''Kinship Terms'']'	'[''Come/Go Up, Ascend'', ''Light'', ''Kinship Relations Involving Successive Generations'']'	'[''to move up, especially of the upward movement of the sun, stars, or clouds'', ''to change from darkness to light in the early morning hours'', ''(a figurative extension of meaning of {L:ἀνατέλλω<SDBG:ἀνατέλλω:000000>}[a] ‘to rise,’ as of the sun, {D:15.104}) to be an important descendant, presumably of a distinguished ancestor, normally with a number of intervening generations'']'
ανατολη	'[''Linear Movement'', ''Spacial Orientations'', ''Physical Events and States'']'	'[''Come/Go Up, Ascend'', ''North, South, East, West'', ''Light'']'	'[''to move up, especially of the upward movement of the sun, stars, or clouds'', ''east (as the direction of the rising sun).'', ''(an idiom, literally: dawning from on high) the bright dawn of salvation (or possibly to be understood as a title for the Messiah)'']'
ανατρεπω	'[''Non-Linear Movement'', ''Hold a View, Believe, Trust'']'	'[''Change an Opinion Concerning Truth'']'	'[''to cause something to be completely overturned'', ''(a figurative extension of meaning of {L:ἀνατρέπω<SDBG:ἀνατρέπω:000000>}[a] ‘to overturn,’ {D:16.18}) to cause serious difficulty or trouble with regard to someone’s belief'']'
αναφερω	'[''Linear Movement'', ''Linear Movement'', ''Religious Activities'']'	'[''Lead, Bring, Take'', ''Carry, Bear'', ''Offering, Sacrifice'']'	'[''to bring or lead up'', ''to be carried or borne upward'', ''to offer up someone or something as a sacrifice (a technical term in the sacrificial system)'']'
ἀναφορά	'[''Physical Events and States'']'	'[''Give'']'	the act of raising or presenting something
αναχωρεω	'[''Linear Movement'', ''Linear Movement'']'	'[''Leave, Depart, Flee, Escape, Send'', ''Return'']'	'[''to move away from a location, implying a considerable distance'', ''to move back to a point or area from which one has previously departed, but with more explicit emphasis upon the return (compare {L:ὑποστρέφω<SDBG:ὑποστρέφω:000000>}[a], {D:15.88})'']'
ἀνάψυχη	'[''Physiological Processes and States'']'	'[''Health, Vigor, Strength'', ''Live, Die'']'	revival of strength or spirit
αναψυχω	'[''Attitudes and Emotions'']'	'[''Encouragement, Consolation'']'	'[''to cause someone to recover a state of cheer or encouragement after a time of anxiety and trouble'']'
ἀνδρεῖος	'[''Moral and Ethical Qualities and Related Behavior'']'	'[''Courage, Boldness'']'	showing valor or fearlessness
ανδριζομαι	'[''Attitudes and Emotions'']'	'[''Courage, Boldness'']'	'[''(a figurative extension of meaning of ἀνδρίζομαι ‘to be manly’ or ‘to become a man,’ not occurring in the NT) to exhibit courage in the face of danger'']'
ανεμος	'[''Physical Events and States'']'	'[''Wind'']'	'[''air in relatively rapid movement, but without specification as to the force of the movement'']'
ανευ	'[''Relations'']'	'[''Dissociation'']'	'[''a marker of negatively linked elements{N:001}'']'
ανηρ	'[''People'', ''People'', ''Kinship Terms'']'	'[''Males'', ''Human Beings'', ''Kinship Relations Based upon Marriage'']'	'[''an adult male person of marriageable age{N:001}'', ''a human being (normally an adult)'', ''a man who is married to a woman'']'
ἀνθέω	'[''Plants'']'	'[''Plants That Are Not Trees'', ''Grow, Growth'']'	to flower or thrive
ανθιστημι	'[''Hostility, Strife'', ''Hostility, Strife'']'	'[''Opposition, Hostility'', ''Resistance'']'	'[''to oppose someone, involving not only a psychological attitude but also a corresponding behavior{N:001}'', ''to resist by actively opposing pressure or power'']'
